дом;dom;Haus
мама;mama;Mama
собака;sobaka;Hund
кошка;koschka;Katze
город;gorod;Stadt
дерево;derewo;Baum
река;reka;Fluss
стол;stol;Tisch
книга;kniga;Buch
школа;schkola;Schule
друг;drug;Freund
яблоко;jabloko;Apfel
семья;sem'ja;Familie
время;wremja;Zeit
рука;ruka;Hand
голова;golowa;Kopf
письмо;pismjo;Brief
утро;utro;Morgen
вечер;wetscher;Abend
ночь;notch;Nacht
море;more;Meer
дверь;dwer;Tür
стена;stena;Wand
окно;okno;Fenster
здание;sdanje;Gebäude
улица;uliza;Straße
зеркало;zjerkalo;Spiegel
кровать;krowat;Bett
магазин;magazin;Geschäft
комната;komnata;Zimmer
парк;park;Park
поезд;pojesd;Zug
машина;maschina;Auto
дождь;doschd;Regen
солнце;solnze;Sonne
пальто;palto;Mantel
ботинки;botinki;Schuhe
шапка;schapka;Mütze
ребёнок;rebjonok;Kind
птица;ptiza;Vogel
рыба;ryba;Fisch
молоко;moloko;Milch
хлеб;chleb;Brot
сыр;syr;Käse
вода;woda;Wasser
чай;tschaj;Tee
сок;sok;Saft
еда;jeda;Essen
работа;rabota;Arbeit
отдых;otdych;Erholung
праздник;prazdnik;Feiertag
песня;pesnja;Lied
музыка;muzyka;Musik
танец;tanez;Tanz
игра;igra;Spiel
спорт;sport;Sport
фильм;film;Film
квартира;kwartira;Wohnung
парк;park;Park
театр;teatr;Theater
музей;muzej;Museum
класс;klass;Klasse
урок;urok;Unterricht
письмо;pismjo;Brief
компьютер;kompjuter;Computer
телефон;telefon;Telefon
газета;gazjeta;Zeitung
журнал;zhurnal;Zeitschrift
книга;kniga;Buch
тетрадь;tetrad;Heft
ручка;rutschka;Stift
карандаш;karandasch;Bleistift
линейка;linejka;Lineal
картина;kartina;Bild
карта;karta;Karte
стул;stul;Stuhl
шкаф;schkaf;Schrank
часы;tschasy;Uhr
подарок;podarok;Geschenk
игрушка;igruschka;Spielzeug
деньги;dengi;Geld
кошелёк;koscheljok;Geldbörse
покупка;pokupka;Einkauf
рынок;rynok;Markt
магазин;magazin;Geschäft
товар;towar;Ware
продавец;prodawjez;Verkäufer
покупатель;pokupatel;Käufer
касса;kassa;Kasse
сдача;sdatscha;Wechselgeld
плата;plata;Bezahlung
цена;zjena;Preis
товар;towar;Ware
человек;tschelowjek;Mensch
женщина;zchenschtschina;Frau
мужчина;muzhschtschina;Mann
девочка;djevochka;Mädchen
мальчик;maltschik;Junge
гость;gost;Gast
хозяин;chosjain;Gastgeber
сосед;sosed;Nachbar
врач;wrach;Arzt
учитель;utschitel;Lehrer
инженер;inscheneer;Ingenieur
работник;rabotnik;Arbeiter
учёный;utschony;Wissenschaftler
писатель;pisatel;Schriftsteller
художник;chudoschnik;Künstler
актёр;akter;Schauspieler
певец;pewez;Sänger
спортсмен;sportsmen;Sportler
ученик;utschenik;Schüler
студент;student;Student
директор;direktor;Direktor
менеджер;menedscher;Manager
сотрудник;sotrudnik;Mitarbeiter
адвокат;adwokat;Anwalt
судья;sjudja;Richter
полицейский;polizejski;Polizist
солдат;soldat;Soldat
офицер;offizer;Offizier
